@relation fences

@attribute grasshealth numeric
@attribute wolfdistance numeric
@attribute sheepdistance numeric
@attribute sheepposition {inside, outside, middle}
@attribute bossposition {inside, outside}
@attribute updown {up, down}

@data
0,37.51245,3.458937,inside,outside,down
0,33.19318,3.442652,inside,outside,down
0,38.0421,1.947034,inside,outside,down
0,32.04224,7.306301,inside,outside,down
0.06246809,26.97401,15.78291,outside,outside,down
0.0633327,35.44432,7.373624,outside,outside,down
0.0633327,36.01738,8.63201,outside,outside,down
0.0633327,27.72271,16.25543,outside,outside,down
0.1625443,31.82737,19.03174,outside,outside,down
0.1633991,39.93025,10.66001,outside,outside,down
0.1633991,30.09218,19.87268,outside,outside,down
0.2641347,34.90247,23.84451,outside,outside,down
1,16.66491,13.95047,outside,outside,down
1,25.11948,5.631911,outside,outside,down
1,25.95354,7.838311,outside,outside,down
1,12.45184,11.40898,middle,outside,down
1,19.71663,3.716098,middle,outside,down
1,18.02014,4.88178,middle,outside,down
0.9124813,12.83488,7.307571,inside,outside,down
0.9073651,16.02874,1.936793,inside,outside,down
0.9073651,10.58572,2.762151,inside,outside,down
0.8119633,20.02319,6.917889,inside,outside,down
0,24.95638,3.63002,inside,outside,down
0,18.80056,5.825718,inside,outside,down
0,27.27587,2.46606,inside,outside,down
0,32.85369,4.520287,inside,outside,down
0,27.76203,7.548814,inside,outside,down
0,20.86476,6.521657,inside,outside,down
0.07058951,43.15322,7.67029,outside,outside,down
0.07146019,50.05747,16.14067,outside,outside,down
0.07146019,46.04224,17.92815,outside,outside,down
0.07146019,38.42314,10.68752,outside,outside,down
0.1719494,52.31753,20.21153,outside,outside,down
0.1719494,44.49665,12.78066,outside,outside,down
0.2725862,48.76671,19.60445,outside,outside,down
0.2725862,40.48062,11.89254,outside,outside,down
1,45.20103,7.540146,outside,outside,down
1,37.82512,5.4695,outside,outside,down
1,46.24966,6.796147,outside,outside,down
0.9337435,28.33571,2.849663,inside,outside,down
0.929535,36.71902,3.66551,inside,outside,down
0,26.43592,5.320422,inside,outside,down
0,18.14256,6.934819,inside,outside,down
0,26.43506,5.332536,inside,outside,down
0,26.30864,2.248201,inside,outside,down
0,17.95787,4.147061,inside,outside,down
0.1375536,24.58249,4.691437,outside,outside,down
0.1375536,24.0106,9.654755,outside,outside,down
0.8416679,32.48922,1.454862,outside,outside,down
0.8033552,44.08068,6.586471,middle,outside,down
