@relation fences

@attribute grasshealth numeric
@attribute wolfdistance numeric
@attribute sheepdistance numeric
@attribute hassheepoutside {True, False}
@attribute updown {up, down, null}

@data
0.9494874,17.53842,4.480344,False,null
0.9494874,9.535404,2.777989,False,null
1,28.78972,40.39822,False,null
1,32.03106,42.0279,False,null
1,24.14575,34.84914,False,null
0.8991106,21.90104,7.699709,False,null
1,23.34109,35.17079,False,null
0.848965,21.90104,7.672906,False,null
0.848965,10.26207,3.59583,False,null
1,28.02507,41.60352,False,null
0.7987838,18.32091,1.689749,False,null
1,34.86752,49.00213,False,null
1,31.22732,44.61929,False,null
1,23.34109,37.2224,False,null
0.7389747,22.82923,6.570434,False,null
0.7389747,19.25787,1.468605,False,null
0.7389747,11.21082,4.72249,False,null
1,27.07812,42.31178,False,null
1,30.38383,45.18407,False,null
1,22.45289,37.57458,False,null
0.6893593,14.7352,8.322948,False,null
1,33.47186,49.90084,False,null
0.6379792,20.26651,5.058213,False,null
1,29.8402,46.17138,False,null
1,23.33017,38.73408,False,null
0.5879516,13.91666,6.321426,False,null
1,33.09208,44.53357,False,null
1,37.64007,51.11752,False,null
1,31.3977,46.63794,False,null
0.5382742,11.63208,8.053611,False,null
0.5374256,23.22859,1.540155,False,null
0.5374256,16.94988,6.182747,False,null
1,40.38865,50.96509,False,null
1,28.78819,39.15237,False,null
0.4872177,20.97875,4.92239,False,null
0.4872177,25.89681,1.530468,False,null
0.4872177,20.59085,5.824652,False,null
1,36.17164,46.25885,False,null
1,32.19397,38.8694,False,null
0.4378239,17.22701,8.504995,False,null
0.0001338277,41.82526,7.28945,False,down
0,39.96021,1.445545,False,down
1,39.60324,4.089251,True,up
1,39.60324,3.311687,True,down
0.5660707,39.60324,3.121033,True,up
0.5081173,39.60324,3.121711,True,down
0.3558545,47.29973,4.572544,True,up
0.3129221,47.29973,4.875436,True,down
1,39.60324,4.012498,True,up
1,39.60324,4.221467,True,down
0.9667384,47.29973,5.684238,True,up
0.9462973,47.29973,5.56607,True,down
0.8464342,47.2973,4.443098,True,up
0,39.60324,2.434253,True,up
0,47.29973,4.894497,True,up
0,47.29973,4.903111,True,down
1,47.29973,4.104105,True,up
1,47.29973,7.885058,True,down
0.6846091,47.29973,3.661747,True,up
0.6192994,47.29973,3.663455,True,down
0,11.06279,1.503057,False,down
0,18.5477,1.20095,True,down
1,66.8699,2.00824,True,up
1,66.66144,1.497623,True,down
0.8689978,66.48423,3.981267,True,down
0.7086486,66.77909,0.5413974,True,up
0.6787687,66.61237,7.966362,True,up
0,66.35186,0.6956106,True,down
0,58.36322,3.470364,True,down
0.1713675,66.47474,14.27132,True,up
0.200326,57.95363,10.63198,True,up
1,57.92404,1.743283,True,down
0.8906681,57.93476,3.052369,True,up
0,66.47369,5.974115,True,down
0,58.00711,1.207636,True,down
0.08116785,58.00954,4.899964,True,up
0.1100574,66.47855,10.93939,True,up
1,58.02909,1.18945,True,down
0.8872149,58.02824,3.295393,True,up
0,58.08075,2.145741,True,up
0,58.08083,2.12038,True,down
0.2531199,58.07939,16.66503,True,up
1,27.12999,7.771057,True,down
1,18.64937,6.362953,True,down
0.8638046,18.64296,1.577993,True,up
0.8337153,27.12567,5.376703,True,up
0,23.71463,7.670536,True,down
0,33.31252,2.677754,True,down
0,49.20683,5.512588,True,down
0.08874193,72.21825,5.540534,True,up
1,43.83545,10.89676,True,down
1,42.23556,4.229963,True,up
1,41.84023,4.690733,True,down
1,50.17042,6.399498,True,down
0.8073583,50.06961,2.629489,True,up
0.777581,41.80798,3.465898,True,up
0.1314388,45.6967,8.583945,True,up
0.1596549,41.97897,12.70261,True,up
0,21.01969,4.506137,False,down
0,28.92739,1.768633,False,down
0.1609892,28.92346,11.91744,True,up
0.1917276,21.01428,20.23638,True,up
1,69.31947,5.999953,True,down
1,70.52626,4.652124,True,down
0.4491161,42.66459,4.30775,True,up
0.4135258,42.29313,4.391657,True,down
0,36.32209,9.627295,True,down
0,40.25902,3.61622,True,up
0,42.92142,3.172116,True,down
0,6.077369,2.073765,True,up
0,6.068957,2.070692,True,down
0,3.395883,5.581851,True,up
0,3.507523,5.491667,True,down
0,7.699222,6.380954,True,up
0,11.21345,6.60316,True,down
0,46.02899,8.38956,True,up
0,47.58229,8.630896,True,down
0,55.80964,4.450234,True,up
0.2629901,62.9385,15.80054,True,up
